83406;2
34470;2
11000;1
97354;1
52210;1
48400;1
97120;1
13008;1
05000;1
73000;1
97431;1
75017;1
30000;1
97600;1
83400;139
50000;1
10000;3
83250;1
33400;1
77910;1
83000;4
83150;2
83320;15
83140;1
63000;1
11500;1
83230;1
12000;2
83220;15
38000;1
87500;2
59170;1
83100;1
83130;3
34000;1
83440;1
75001;2
13390;1
23200;1
83170;1
83640;1
60000;1
60127;1
18000;1
13001;1
83580;2
35000;1
40000;1
83160;1
93200;1
15000;1
83350;1
83270;1
83120;1
83110;2
20000;2
83240;1
75013;1
37500;1
06360;1
34300;1
38520;1
83500;2
75006;1
75018;1
83111;1
83260;3
23800;1
70000;1
69007;1
06510;1
38380;1
83210;2
92100;1
